hub,taskNumber,taskName,Status,data,lastRun
Unilever,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Food,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Nike,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Middleware,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Middleware,184,Integração Preço,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),07/01/2022 23:35:09
Climate,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Climate,300,Gerar Chaves Assimétricas,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),06/01/2022 07:46:13
Fabercastell,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Hersheys,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Mondelez,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Vila Nova,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Loja Perfeita,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Omron,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Cuidado todos os dias,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Cuidado todos os dias,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 12:06:01
Cuidado todos os dias,205,Alimentar Pedido Hora,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 07:50:56
Cuidado todos os dias,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 12:06:02
Cuidado todos os dias,207,Alimentar PedidosBI Dia,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 07:50:58
Josapar,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Josapar,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 12:06:08
Josapar,205,Alimentar Pedido Hora,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 07:51:38
Josapar,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 12:06:09
Josapar,207,Alimentar PedidosBI Dia,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),04/01/2022 07:51:43
Josapar,193,Disparar Emails,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),06/01/2022 20:18:02
Coty - Loja do Varejo,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
Coty - Loja do Varejo,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),06/01/2022 20:07:33
Coty - Loja do Varejo,205,Alimentar Pedido Hora,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),06/01/2022 13:15:00
Coty - Loja do Varejo,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),06/01/2022 20:07:34
Coty - Loja do Varejo,207,Alimentar PedidosBI Dia,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),06/01/2022 13:15:04
Coty - Loja do Varejo,198,Integração de Política de Preço,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),07/01/2022 19:51:52
AbasteceBem,,,Hub com erro,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),undefined
AbasteceBem,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),07/01/2022 19:52:00
AbasteceBem,206,Alimentar PedidosBI Hora,Normalizada,Sat Jan 08 2022 01:15:05 GMT-0300 (GMT-03:00),07/01/2022 19:13:17
Vila Nova,,,Hub ativo,Sat Jan 08 2022 01:16:07 GMT-0300 (GMT-03:00),undefined
Vila Nova,220,Enfileirar e Reenfileirar EMail de Filial Pendente,Parada,Sat Jan 08 2022 01:16:07 GMT-0300 (GMT-03:00),07/01/2022 23:39:52
Unilever,,,Hub ativo,Sat Jan 08 2022 01:16:47 GMT-0300 (GMT-03:00),undefined
